@RELATION  futbol_oyunu

@ATTRIBUTE hava_durumu {yagmurlu,bulutlu,gunesli}
@ATTRIBUTE sicaklik {sicak,ilik,soguk}
@ATTRIBUTE nem {yuksek,normal}
@ATTRIBUTE ruzgar {yok,var}
@ATTRIBUTE gun {pazartesi,sali,carsamba,persembe,cuma,cumartesi,pazar}
@ATTRIBUTE saat {sabah,aksam,oglen}
@ATTRIBUTE futbol_oyna {hayir,evet}
@DATA
                                                                               

yagmurlu,sicak,yuksek,yok,pazartesi,sabah,evet                            
yagmurlu,ilik,yuksek,yok,pazartesi,sabah,evet
yagmurlu,soguk,yuksek,yok,pazartesi,sabah,evet
yagmurlu,sicak,normal,yok,pazartesi,sabah,evet
yagmurlu,ilik,normal,yok,pazartesi,sabah,evet
yagmurlu,soguk,normal,yok,pazartesi,sabah,evet
yagmurlu,sicak,yuksek,var,pazartesi,sabah,hayir
yagmurlu,ilik,yuksek,var,pazartesi,sabah,hayir
yagmurlu,soguk,yuksek,var,pazartesi,sabah,hayir
yagmurlu,sicak,normal,var,pazartesi,sabah,evet
yagmurlu,ilik,normal,var,pazartesi,sabah,evet
yagmurlu,soguk,normal,var,pazartesi,sabah,evet

yagmurlu,sicak,yuksek,yok,sali,sabah,evet
yagmurlu,ilik,yuksek,yok,sali,sabah,evet
yagmurlu,soguk,yuksek,yok,sali,sabah,evet
yagmurlu,sicak,normal,yok,sali,sabah,evet
yagmurlu,ilik,normal,yok,sali,sabah,evet
yagmurlu,soguk,normal,yok,sali,sabah,evet
yagmurlu,sicak,yuksek,var,sali,sabah,hayir
yagmurlu,ilik,yuksek,var,sali,sabah,hayir
yagmurlu,soguk,yuksek,var,sali,sabah,hayir
yagmurlu,sicak,normal,var,sali,sabah,evet
yagmurlu,ilik,normal,var,sali,sabah,evet	
yagmurlu,soguk,normal,var,sali,sabah,evet

yagmurlu,sicak,yuksek,yok,carsamba,sabah,evet
yagmurlu,ilik,yuksek,yok,carsamba,sabah,evet
yagmurlu,soguk,yuksek,yok,carsamba,sabah,evet
yagmurlu,sicak,normal,yok,carsamba,sabah,evet
yagmurlu,ilik,normal,yok,carsamba,sabah,evet
yagmurlu,soguk,normal,yok,carsamba,sabah,evet
yagmurlu,sicak,yuksek,var,carsamba,sabah,hayir
yagmurlu,ilik,yuksek,var,carsamba,sabah,hayir
yagmurlu,soguk,yuksek,var,carsamba,sabah,hayir
yagmurlu,sicak,normal,var,carsamba,sabah,evet
yagmurlu,ilik,normal,var,carsamba,sabah,evet
yagmurlu,soguk,normal,var,carsamba,sabah,evet

yagmurlu,sicak,yuksek,yok,persembe,sabah,evet
yagmurlu,ilik,yuksek,yok,persembe,sabah,evet
yagmurlu,soguk,yuksek,yok,persembe,sabah,evet
yagmurlu,sicak,normal,yok,persembe,sabah,evet
yagmurlu,ilik,normal,yok,persembe,sabah,evet
yagmurlu,soguk,normal,yok,persembe,sabah,evet
yagmurlu,sicak,yuksek,var,persembe,sabah,hayir
yagmurlu,ilik,yuksek,var,persembe,sabah,hayir
yagmurlu,soguk,yuksek,var,persembe,sabah,hayir
yagmurlu,sicak,normal,var,persembe,sabah,evet
